Date,Open,High,Low,Close,Adj Close,Volume
2009-05-04,24.564999,26.400000,24.510000,26.299999,1.994953,47540800
2009-05-05,26.799999,28.860001,26.500000,28.615000,2.170554,64828750
2009-05-06,28.650000,29.000000,26.809999,27.064999,2.052981,44272320
2009-05-07,27.790001,29.900000,27.209999,29.434999,2.232754,78072560
2009-05-08,30.000000,30.290001,28.070000,28.250000,2.142868,61331990
2009-05-11,28.700001,28.889999,26.804998,27.164999,2.060566,59817070
2009-05-12,26.809999,27.719999,25.900000,27.544998,2.089391,54617490
2009-05-13,27.350000,28.000000,26.379999,26.535000,2.012779,47394490
2009-05-14,25.799999,26.824999,25.324999,26.455000,2.006710,53653340
2009-05-15,26.600000,27.500000,26.510000,27.209999,2.063980,39077220
2009-05-18,30.000000,32.500000,30.000000,31.695000,2.404184,728050
2009-05-19,32.820000,34.840000,26.990000,32.914997,2.496725,73873060
2009-05-20,32.900002,37.849998,32.490002,37.130001,2.816449,87385760
2009-05-21,33.529999,38.740002,33.529999,36.590000,2.775488,55946930
2009-05-22,36.150002,37.360001,35.270000,36.325001,2.755386,39206170
2009-05-25,36.500000,37.639999,35.700001,36.869999,2.796726,27297970
2009-05-26,37.000000,37.750000,35.750000,36.099998,2.738319,25740690
2009-05-27,38.500000,38.500000,36.500000,37.325001,2.831240,23924330
2009-05-28,36.500000,38.900002,36.500000,38.360001,2.909749,39893600
2009-05-29,39.599998,41.264999,38.360001,40.630001,3.081937,44016730
2009-06-01,42.099998,44.669998,41.200001,43.794998,3.322014,38704460
2009-06-02,43.799999,48.485001,43.790001,47.404999,3.595846,59346170
2009-06-03,48.000000,49.639999,47.930000,48.790001,3.700902,54158590
2009-06-04,49.099998,49.099998,46.419998,47.070000,3.570435,31992130
2009-06-05,47.900002,48.169998,46.099998,46.389999,3.518854,25672980
2009-06-08,46.700001,47.000000,40.910000,41.654999,3.159687,42002380
2009-06-09,40.000000,44.349998,40.000000,43.855000,3.326565,151393590
2009-06-10,44.099998,46.340000,43.410000,43.950001,3.333771,30974010
2009-06-11,43.950001,45.880001,43.700001,45.224998,3.430485,34794660
2009-06-12,45.779999,47.099998,45.209999,45.580002,3.457412,48475220
2009-06-15,45.990002,46.480000,43.060001,43.404999,3.292431,22503510
2009-06-16,41.994999,45.540001,41.200001,45.090000,3.420244,47286000
2009-06-17,44.950001,45.189999,41.099998,41.700001,3.163100,41184510
2009-06-18,41.500000,42.099998,38.009998,38.900002,2.950710,54523320
2009-06-19,39.500000,41.419998,39.349998,41.174999,3.123277,52550980
2009-06-22,41.625000,42.230000,40.020000,40.254997,3.053492,38471530
2009-06-23,39.490002,40.490002,38.414997,40.040001,3.037183,38775630
2009-06-24,40.454998,40.869999,39.274998,40.654999,3.083833,30405700
2009-06-25,41.009998,41.259998,39.410000,39.794998,3.018598,41753220
2009-06-26,40.044998,40.299999,38.000000,38.790001,2.942366,63975170
2009-06-29,39.000000,40.380001,38.924999,39.715000,3.012530,18629740
2009-06-30,40.000000,41.195000,38.704998,39.080002,2.964364,39563090
2009-07-01,38.970001,39.794998,38.134998,39.500000,2.996222,30675210
2009-07-02,39.805000,42.860001,39.700001,42.014999,3.186994,62978850
2009-07-03,40.509998,44.290001,40.509998,43.830002,3.324669,66368790
2009-07-06,43.270000,43.700001,39.200001,39.645000,4.736129,43672330
2009-07-07,40.990002,40.990002,38.524998,39.810001,4.755841,36859300
2009-07-08,39.889999,39.889999,36.000000,36.254997,4.331148,54550330
2009-07-09,36.200001,36.990002,35.325001,36.419998,4.350859,36920070
2009-07-10,36.974998,37.590000,34.410000,35.340000,4.221839,30885330
2009-07-13,34.799999,35.000000,33.060001,33.889999,4.048617,29519700
2009-07-14,34.500000,36.000000,34.500000,35.820000,4.279182,21359180
2009-07-15,36.099998,38.244999,36.099998,38.020000,4.542002,28542740
2009-07-16,38.599998,40.430000,38.000000,38.509998,4.600538,56280580
2009-07-17,38.810001,39.689999,38.610001,39.274998,4.691927,24725440
2009-07-20,39.799999,40.099998,38.740002,39.110001,4.672217,26236980
2009-07-21,38.794998,41.470001,37.700001,41.174999,4.918908,94753860
2009-07-22,41.500000,42.400002,39.404999,39.830002,4.758231,59542100
2009-07-23,40.610001,41.825001,40.299999,41.474998,4.954748,45180860
2009-07-24,42.000000,44.200001,41.930000,43.990002,5.255198,53753370
2009-07-27,44.000000,45.959999,43.500000,45.735001,5.463662,35810900
2009-07-28,45.900002,47.184998,44.830002,46.895000,5.602239,47181430
2009-07-29,46.700001,47.029999,42.654999,44.189999,5.279090,67188420
2009-07-30,43.500000,45.730000,42.200001,45.310001,5.412889,56364970
2009-07-31,45.880001,47.000000,45.555000,46.270000,5.527575,34588970
2009-08-03,46.674999,48.500000,46.400002,48.360001,5.777254,36950860
2009-08-04,48.299999,49.209999,46.884998,47.504997,5.675112,34627480
2009-08-05,47.700001,48.145000,46.349998,47.310001,5.651817,26946540
2009-08-06,46.799999,47.825001,45.064999,45.480000,5.433198,40757670
2009-08-07,44.895000,46.299999,44.520000,45.619999,5.449924,51315090
2009-08-10,46.114998,47.000000,44.900002,45.599998,5.447534,37198620
2009-08-11,45.400002,46.689999,45.024998,46.314999,5.532952,29853200
2009-08-12,46.009998,46.099998,42.014999,44.369999,5.300594,48008080
2009-08-13,44.900002,47.270000,44.900002,47.049999,5.620756,36062900
2009-08-14,46.605000,48.274998,46.605000,46.974998,5.611797,36367350
2009-08-17,46.294998,46.294998,43.599998,43.770000,5.228916,33751930
2009-08-18,43.500000,45.700001,43.299999,45.145000,5.393179,42859320
